                 X [m]	                 Y [m]	c [MN/m³]
97.18	-6.97	0.887441734
97.18	-6.97	0.887441734
97.18	-6.97	0.887441734
5.58	40.81	7.637186258
5.58	40.81	7.637186258
5.58	40.81	7.637186258
5.58	40.81	7.637186258
5.58	40.81	7.637186258
5.58	35.62	7.276478135
5.58	35.62	7.276478135
5.58	35.62	7.276478135
5.58	35.62	7.276478135
5.58	35.62	7.276478135
5.58	35.62	7.276478135
5.58	35.62	7.276478135
5.58	35.62	7.276478135
-0.22	25.4	14.89677672
-0.22	25.4	14.89677672
-0.22	25.4	14.89677672
-0.22	25.4	14.89677672
-0.22	25.4	14.89677672
-0.22	25.4	14.89677672
-0.22	25.4	14.89677672
103.59	-0.22	5.695992114
103.59	-0.22	5.695992114
103.59	-0.22	5.695992114
103.59	-0.22	5.695992114
103.59	-0.22	5.695992114
103.59	-0.22	5.695992114
108.74	-0.22	5.044231416
108.74	-0.22	5.044231416
108.74	-0.22	5.044231416
108.74	-0.22	5.044231416
97.18	-1.81	5.737778688
97.18	-1.81	5.737778688
97.18	-1.81	5.737778688
97.18	-1.81	5.737778688
97.18	-1.81	5.737778688
97.18	-1.81	5.737778688
97.18	-1.81	5.737778688
89.65	-6.97	0.897009624
89.65	-6.97	0.897009624
89.65	-6.97	0.897009624
89.65	-6.97	0.897009624
89.65	-6.97	0.897009624
89.65	-6.97	0.897009624
89.65	-6.97	0.897009624
5.58	35.25	6.941778291
5.58	35.25	6.941778291
5.58	35.25	6.941778291
5.58	35.25	6.941778291
5.58	35.25	6.941778291
5.58	37.08	7.20329188
5.58	37.08	7.20329188
5.58	37.08	7.20329188
5.58	37.08	7.20329188
5.58	37.08	7.20329188
5.58	37.08	7.20329188
5.58	25.4	6.698668936
5.58	25.4	6.698668936
5.58	25.4	6.698668936
5.58	25.4	6.698668936
5.58	25.4	6.698668936
5.58	25.4	6.698668936
5.58	25.4	6.698668936
-0.22	13.68	14.10088915
-0.22	13.68	14.10088915
-0.22	13.68	14.10088915
-0.22	13.68	14.10088915
-0.22	13.68	14.10088915
-0.22	13.68	14.10088915
-0.22	13.68	14.10088915
89.65	-1.81	5.449240909
89.65	-1.81	5.449240909
89.65	-1.81	5.449240909
89.65	-1.81	5.449240909
89.65	-1.81	5.449240909
89.65	-1.81	5.449240909
89.65	-1.81	5.449240909
79.42	-6.97	1.039989169
79.42	-6.97	1.039989169
79.42	-6.97	1.039989169
79.42	-6.97	1.039989169
79.42	-6.97	1.039989169
79.42	-6.97	1.039989169
79.42	-6.97	1.039989169
5.58	16.39	4.081595735
5.58	16.39	4.081595735
5.58	16.39	4.081595735
5.58	16.39	4.081595735
5.58	16.39	4.081595735
5.58	16.39	4.081595735
5.58	26.4	6.754615246
5.58	26.4	6.754615246
5.58	26.4	6.754615246
5.58	26.4	6.754615246
5.58	26.4	6.754615246
5.58	26.4	6.754615246
5.58	26.4	6.754615246
6.21	25.4	6.592521702
6.21	25.4	6.592521702
6.21	25.4	6.592521702
6.21	25.4	6.592521702
6.21	25.4	6.592521702
6.21	25.4	6.592521702
5.58	13.68	6.445256366
5.58	13.68	6.445256366
5.58	13.68	6.445256366
5.58	13.68	6.445256366
5.58	13.68	6.445256366
5.58	13.68	6.445256366
5.58	13.68	6.445256366
5.58	13.68	6.445256366
5.58	13.68	6.445256366
79.42	-0.22	5.716556259
79.42	-0.22	5.716556259
79.42	-0.22	5.716556259
79.42	-0.22	5.716556259
79.42	-0.22	5.716556259
79.42	-0.22	5.716556259
79.42	-0.22	5.716556259
58.38	-6.97	1.31642306
58.38	-6.97	1.31642306
58.38	-6.97	1.31642306
58.38	-6.97	1.31642306
58.38	-6.97	1.31642306
58.38	-6.97	1.31642306
58.38	-6.97	1.31642306
58.38	-6.97	1.31642306
5.58	14.03	6.200109144
5.58	14.03	6.200109144
5.58	14.03	6.200109144
5.58	14.03	6.200109144
5.58	14.03	6.200109144
10.96	13.68	5.433348419
10.96	13.68	5.433348419
10.96	13.68	5.433348419
10.96	13.68	5.433348419
10.96	13.68	5.433348419
10.96	13.68	5.433348419
10.96	13.68	5.433348419
78.35	-0.22	5.613637067
78.35	-0.22	5.613637067
78.35	-0.22	5.613637067
78.35	-0.22	5.613637067
78.35	-0.22	5.613637067
78.35	-0.22	5.613637067
58.38	-9.27	-1.853040576
58.38	-9.27	-1.853040576
58.38	-9.27	-1.853040576
58.38	-9.27	-1.853040576
58.38	-9.27	-1.853040576
58.38	-9.27	-1.853040576
58.38	-0.22	6.197001707
58.38	-0.22	6.197001707
58.38	-0.22	6.197001707
58.38	-0.22	6.197001707
58.38	-0.22	6.197001707
58.38	-0.22	6.197001707
60.88	-0.22	5.968217397
60.88	-0.22	5.968217397
60.88	-0.22	5.968217397
60.88	-0.22	5.968217397
60.88	-0.22	5.968217397
60.88	-0.22	5.968217397
60.88	-0.22	5.968217397
60.88	4.84	6.319141129
60.88	4.84	6.319141129
60.88	4.84	6.319141129
60.88	4.84	6.319141129
60.88	4.84	6.319141129
60.88	4.84	6.319141129
60.88	4.84	6.319141129
69.95	-0.22	6.435835536
69.95	-0.22	6.435835536
69.95	-0.22	6.435835536
69.95	-0.22	6.435835536
69.95	-0.22	6.435835536
69.95	-0.22	6.435835536
60.88	7.31	6.396792792
60.88	7.31	6.396792792
60.88	7.31	6.396792792
60.88	7.31	6.396792792
60.88	7.31	6.396792792
60.88	7.31	6.396792792
69.95	4.84	6.006415619
69.95	4.84	6.006415619
69.95	4.84	6.006415619
69.95	4.84	6.006415619
69.95	4.84	6.006415619
69.95	4.84	6.006415619
70.52	-0.22	6.3301607
70.52	-0.22	6.3301607
70.52	-0.22	6.3301607
70.52	-0.22	6.3301607
70.52	-0.22	6.3301607
70.52	-0.22	6.3301607
69.95	2.86	6.417480574
69.95	2.86	6.417480574
69.95	2.86	6.417480574
69.95	2.86	6.417480574
69.95	2.86	6.417480574
69.95	2.86	6.417480574
62.5	2.86	6.056129537
62.5	2.86	6.056129537
62.5	2.86	6.056129537
62.5	2.86	6.056129537
62.5	2.86	6.056129537
62.5	2.86	6.056129537
62.5	2.86	6.056129537
64.58	15.39	2.671051254
64.58	15.39	2.671051254
64.58	15.39	2.671051254
64.58	15.39	2.671051254
64.58	15.39	2.671051254
64.58	15.39	2.671051254
77.65	15.39	4.91000847
77.65	15.39	4.91000847
77.65	15.39	4.91000847
77.65	15.39	4.91000847
77.65	15.39	4.91000847
77.65	15.39	4.91000847
77.65	15.71	4.344801626
77.65	15.71	4.344801626
77.65	15.71	4.344801626
77.65	15.71	4.344801626
77.65	15.71	4.344801626
77.65	15.71	4.344801626
77.65	15.71	4.344801626
71.61	-0.22	6.09775969
71.61	-0.22	6.09775969
71.61	-0.22	6.09775969
71.61	-0.22	6.09775969
71.61	-0.22	6.09775969
71.61	-0.22	6.09775969
71.61	-0.22	6.09775969
73.94	-0.22	6.056098692
73.94	-0.22	6.056098692
73.94	-0.22	6.056098692
73.94	-0.22	6.056098692
73.94	-0.22	6.056098692
73.94	-0.22	6.056098692
75.32	-0.22	5.923976461
75.32	-0.22	5.923976461
75.32	-0.22	5.923976461
75.32	-0.22	5.923976461
75.32	-0.22	5.923976461
75.32	-0.22	5.923976461
77.34	-0.22	5.718551961
77.34	-0.22	5.718551961
77.34	-0.22	5.718551961
77.34	-0.22	5.718551961
77.34	-0.22	5.718551961
77.34	-0.22	5.718551961
80.52	-0.22	5.606111712
80.52	-0.22	5.606111712
80.52	-0.22	5.606111712
80.52	-0.22	5.606111712
80.52	-0.22	5.606111712
80.52	-0.22	5.606111712
92.05	-0.22	5.777173615
92.05	-0.22	5.777173615
92.05	-0.22	5.777173615
92.05	-0.22	5.777173615
92.05	-0.22	5.777173615
92.05	-0.22	5.777173615
94.53	-0.22	5.799286226
94.53	-0.22	5.799286226
94.53	-0.22	5.799286226
94.53	-0.22	5.799286226
94.53	-0.22	5.799286226
94.53	-0.22	5.799286226
102.09	-0.22	5.982202178
102.09	-0.22	5.982202178
102.09	-0.22	5.982202178
102.09	-0.22	5.982202178
102.09	-0.22	5.982202178
102.09	-0.22	5.982202178
102.09	-0.22	5.982202178
3.34	49.42	8.256187181
3.34	49.42	8.256187181
3.34	49.42	8.256187181
3.34	49.42	8.256187181
3.34	49.42	8.256187181
3.34	49.42	8.256187181
3.34	50.81	8.207764075
3.34	50.81	8.207764075
3.34	50.81	8.207764075
3.34	50.81	8.207764075
3.34	50.81	8.207764075
3.34	50.81	8.207764075
3.34	51.82	8.251449251
3.34	51.82	8.251449251
3.34	51.82	8.251449251
3.34	51.82	8.251449251
3.34	51.82	8.251449251
3.34	51.82	8.251449251
3.34	57	2.806881121
3.34	57	2.806881121
3.34	57	2.806881121
3.34	57	2.806881121
3.34	57	2.806881121
5.58	27.41	6.739598941
5.58	27.41	6.739598941
5.58	27.41	6.739598941
5.58	27.41	6.739598941
5.58	27.41	6.739598941
5.58	27.41	6.739598941
5.58	28.8	6.841235496
5.58	28.8	6.841235496
5.58	28.8	6.841235496
5.58	28.8	6.841235496
5.58	28.8	6.841235496
5.58	28.8	6.841235496
5.58	29.81	6.858430474
5.58	29.81	6.858430474
5.58	29.81	6.858430474
5.58	29.81	6.858430474
5.58	29.81	6.858430474
5.58	29.81	6.858430474
5.58	32.14	6.699657998
5.58	32.14	6.699657998
5.58	32.14	6.699657998
5.58	32.14	6.699657998
5.58	32.14	6.699657998
5.58	32.14	6.699657998
5.58	33.15	6.89873044
5.58	33.15	6.89873044
5.58	33.15	6.89873044
5.58	33.15	6.89873044
5.58	33.15	6.89873044
5.58	33.15	6.89873044
5.58	33.15	6.89873044
5.58	33.15	6.89873044
5.58	34.24	7.172117719
5.58	34.24	7.172117719
5.58	34.24	7.172117719
5.58	34.24	7.172117719
5.58	34.24	7.172117719
5.58	34.24	7.172117719
5.58	38.09	7.193927106
5.58	38.09	7.193927106
5.58	38.09	7.193927106
5.58	38.09	7.193927106
5.58	38.09	7.193927106
5.58	38.09	7.193927106
5.58	38.09	7.193927106
5.58	39.8	7.469191209
5.58	39.8	7.469191209
5.58	39.8	7.469191209
5.58	39.8	7.469191209
5.58	39.8	7.469191209
5.58	39.8	7.469191209
5.58	39.8	7.469191209
7.86	25.4	6.498815053
7.86	25.4	6.498815053
7.86	25.4	6.498815053
7.86	25.4	6.498815053
7.86	25.4	6.498815053
7.86	25.4	6.498815053
7.86	25.4	6.498815053
7.86	28.84	6.612925213
7.86	28.84	6.612925213
7.86	28.84	6.612925213
7.86	28.84	6.612925213
7.86	28.84	6.612925213
7.86	28.84	6.612925213
7.86	28.84	6.612925213
7.22	25.4	6.412003811
7.22	25.4	6.412003811
7.22	25.4	6.412003811
7.22	25.4	6.412003811
7.22	25.4	6.412003811
7.22	25.4	6.412003811
10.55	25.4	6.551653492
10.55	25.4	6.551653492
10.55	25.4	6.551653492
10.55	25.4	6.551653492
10.55	25.4	6.551653492
10.55	25.4	6.551653492
10.55	25.4	6.551653492
10.98	25.4	6.419100788
10.98	25.4	6.419100788
10.98	25.4	6.419100788
10.98	25.4	6.419100788
10.98	25.4	6.419100788
10.98	25.4	6.419100788
14.3	7.31	6.28229287
14.3	7.31	6.28229287
14.3	7.31	6.28229287
14.3	7.31	6.28229287
14.3	7.31	6.28229287
14.3	7.31	6.28229287
14.3	7.31	6.28229287
15.86	7.31	6.208751352
15.86	7.31	6.208751352
15.86	7.31	6.208751352
15.86	7.31	6.208751352
15.86	7.31	6.208751352
15.86	7.31	6.208751352
17.36	7.31	6.368812386
17.36	7.31	6.368812386
17.36	7.31	6.368812386
17.36	7.31	6.368812386
17.36	7.31	6.368812386
19.85	7.31	6.256389779
